timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,smooth_accel_z,1.460851607,0.000000001,smooth_mag_x,smooth_mag_y,alpha,standard deviation,smooth_gyro_z
4.7057E+12,0.0973053,3.2376862,9.895142,-0.26055908,-0.14242554,-0.09625244,17.713928,6.6314697,-50.750732,9.498010309,10.5504258,4705.698251,18.19444454,6.439154072,BLANK,0.520931008,-0.102572594
4.7057E+12,0.18348694,3.2068787,9.819687,-0.22592163,-0.14186096,-0.07673645,17.713928,6.6314697,-50.750732,9.514094144,10.5504258,4705.703287,18.17041871,6.448769853,BLANK,0.520931008,-0.101280786
4.70571E+12,0.272583,3.198532,9.637421,-0.18536377,-0.13565063,-0.057266235,17.713928,6.6314697,-50.750732,9.520260487,10.5504258,4705.708322,18.14759418,6.457904846,BLANK,0.520931008,-0.099080059
4.70571E+12,0.37516785,3.2574768,9.406204,-0.14428711,-0.123062134,-0.039978027,17.713928,6.6314697,-50.750732,9.514557662,10.5504258,4705.713357,18.12591087,6.466583088,BLANK,0.520931008,-0.096124957
4.70572E+12,0.48336792,3.2697601,9.094681,-0.104385376,-0.10316467,-0.026062012,18.83545,8.395386,-50.907898,9.493563829,10.5504258,4705.718393,18.16138782,6.563023234,BLANK,0.520931008,-0.09262181
4.70572E+12,0.53201294,3.322586,8.825867,-0.068878174,-0.08180237,-0.014526367,18.83545,8.395386,-50.907898,9.460178988,10.5504258,4705.723428,18.19509093,6.654641372,BLANK,0.520931008,-0.088717038
4.70573E+12,0.5418701,3.3621063,8.620697,-0.04069519,-0.060806274,-0.005355835,18.83545,8.395386,-50.907898,9.418204888,10.5504258,4705.728464,18.22710889,6.741678604,BLANK,0.520931008,-0.084548978
4.70573E+12,0.5208893,3.381134,8.508133,-0.016494751,-0.039993286,0.001739502,18.83545,8.395386,-50.907898,9.372701294,10.5504258,4705.733499,18.25752594,6.824363974,BLANK,0.520931008,-0.080234554
4.70574E+12,0.48799133,3.3880463,8.464432,0.005065918,-0.02178955,0.007461548,18.739319,8.604431,-50.96283,9.327287829,10.5504258,4705.738534,18.28161559,6.913367325,BLANK,0.520931008,-0.075849749
4.70574E+12,0.4699707,3.4145508,8.374649,0.029190063,-0.01222229,0.010696411,18.739319,8.604431,-50.96283,9.279655888,10.5504258,4705.74357,18.30450076,6.997920509,BLANK,0.520931008,-0.071522441
4.70575E+12,0.55010986,3.5202637,8.212219,0.061798096,-0.015441895,0.012878418,18.739319,8.604431,-50.96283,9.226284043,10.5504258,4705.748605,18.32624168,7.078246033,BLANK,0.520931008,-0.067302398
4.70575E+12,0.69963074,3.658722,8.115845,0.104400635,-0.03337097,0.01689148,18.739319,8.604431,-50.96283,9.170762091,10.5504258,4705.753641,18.34689554,7.154555282,BLANK,0.520931008,-0.063092704
4.70576E+12,0.848053,3.756485,8.097458,0.15242004,-0.064575195,0.016799927,17.887878,9.924316,-51.322937,9.117096887,10.5504258,4705.758676,18.32394467,7.293043317,BLANK,0.520931008,-0.059098072
4.70576E+12,1.0136719,3.8368835,7.9806366,0.2078247,-0.1025238,0.008010864,17.887878,9.924316,-51.322937,9.060273872,10.5504258,4705.763711,18.30214133,7.424606952,BLANK,0.520931008,-0.055742625
4.70577E+12,1.2587891,3.9231262,7.7191772,0.26768494,-0.13256836,-0.007781982,17.887878,9.924316,-51.322937,8.993219039,10.5504258,4705.768747,18.28142817,7.549592404,BLANK,0.520931008,-0.053344593
4.70577E+12,1.4982758,3.993744,7.430588,0.32466125,-0.15238953,-0.028839111,17.887878,9.924316,-51.322937,8.915087487,10.5504258,4705.773782,18.26175066,7.668328584,BLANK,0.520931008,-0.052119319
4.70578E+12,1.6164398,4.080551,7.055893,0.37239075,-0.16842651,-0.059936523,17.289734,7.536316,-50.74005,8.822127762,10.5504258,4705.778818,18.21314982,7.661727955,BLANK,0.520931008,-0.052510179
4.70578E+12,1.6086273,4.12442,6.7445984,0.41220093,-0.18292236,-0.10391235,17.289734,7.536316,-50.74005,8.718251294,10.5504258,4705.783853,18.16697903,7.655457357,BLANK,0.520931008,-0.055080288
4.70579E+12,1.4972534,4.1529236,6.3927,0.43980408,-0.19277954,-0.15542603,17.289734,7.536316,-50.74005,8.60197373,10.5504258,4705.788888,18.12311678,7.649500289,BLANK,0.520931008,-0.060097575
4.70579E+12,1.4192047,4.1217346,6.120056,0.44995117,-0.1947174,-0.2106781,17.289734,7.536316,-50.74005,8.477877843,10.5504258,4705.793924,18.08144764,7.643841075,BLANK,0.520931008,-0.067626601
4.7058E+12,1.4315948,4.101074,6.1466827,0.43836975,-0.19277954,-0.25836182,17.411804,7.902527,-50.85907,8.361318086,10.5504258,4705.798959,18.04796546,7.656775371,BLANK,0.520931008,-0.077163362
4.7058E+12,1.4242401,4.038162,6.147049,0.4041748,-0.19145203,-0.2979126,17.411804,7.902527,-50.85907,8.250604632,10.5504258,4705.803995,18.01615739,7.669062952,BLANK,0.520931008,-0.088200824
4.70581E+12,1.333313,3.8829803,6.256653,0.35430908,-0.18334961,-0.33268738,17.411804,7.902527,-50.85907,8.15090705,10.5504258,4705.80903,17.98593972,7.680736155,BLANK,0.520931008,-0.100425152
4.70581E+12,1.2476501,3.7831879,6.265045,0.29486084,-0.15740967,-0.36106873,17.411804,7.902527,-50.85907,8.056613948,10.5504258,4705.814065,17.95723293,7.691825697,BLANK,0.520931008,-0.113457331
4.70582E+12,1.2619934,3.6760101,6.22435,0.23291016,-0.11845398,-0.3782196,17.875671,9.42688,-51.44348,7.96500075,10.5504258,4705.819101,17.95315484,7.778578412,BLANK,0.520931008,-0.126695444
4.70582E+12,1.159256,3.6437378,6.2103424,0.15853882,-0.0652771,-0.38789368,17.875671,9.42688,-51.44348,7.877267833,10.5504258,4705.824136,17.94928064,7.860993491,BLANK,0.520931008,-0.139755356
4.70583E+12,0.9007721,3.6240082,6.42749,0.08125305,-0.014511108,-0.38885498,17.875671,9.42688,-51.44348,7.804778941,10.5504258,4705.829172,17.94560016,7.939287817,BLANK,0.520931008,-0.152210337
4.70583E+12,0.5868225,3.5750732,6.8047333,-0.002349854,0.03186035,-0.38587952,17.875671,9.42688,-51.44348,7.754776659,10.5504258,4705.834207,17.9421037,8.013667426,BLANK,0.520931008,-0.163893796
4.70584E+12,0.354599,3.5772095,7.208786,-0.086639404,0.06768799,-0.37854004,17.462158,8.7387085,-51.57776,7.727477126,10.5504258,4705.839242,17.91810642,8.04991948,BLANK,0.520931008,-0.174626109
4.70584E+12,0.19578552,3.5421295,7.5160675,-0.16007996,0.097335815,-0.3667755,17.462158,8.7387085,-51.57776,7.716906645,10.5504258,4705.844278,17.895309,8.084358931,BLANK,0.520931008,-0.184233578
4.70585E+12,0.06513977,3.5131683,8.022461,-0.21365356,0.12095642,-0.3456726,17.462158,8.7387085,-51.57776,7.732184363,10.5504258,4705.849313,17.87365145,8.117076409,BLANK,0.520931008,-0.192305529
4.70585E+12,0.13195801,3.5213776,8.546661,-0.25650024,0.13552856,-0.31367493,17.503357,8.612061,-51.53656,7.772908194,10.5504258,4705.854349,17.85513673,8.141825639,BLANK,0.520931008,-0.198373999
4.70586E+12,0.41841125,3.5552979,9.04834,-0.27400208,0.12857056,-0.27973938,17.503357,8.612061,-51.53656,7.836679785,10.5504258,4705.859384,17.83754774,8.165337407,BLANK,0.520931008,-0.202442268
4.70586E+12,0.704895,3.6335602,9.279327,-0.26060486,0.11109924,-0.24659729,17.503357,8.612061,-51.53656,7.908812145,10.5504258,4705.86442,17.8208382,8.187673586,BLANK,0.520931008,-0.204650019
4.70587E+12,0.9036865,3.7467499,9.309326,-0.22076416,0.09275818,-0.22465515,17.503357,8.612061,-51.53656,7.978837838,10.5504258,4705.869455,17.80496414,8.208892957,BLANK,0.520931008,-0.205650276
4.70587E+12,0.9711609,3.8964233,9.138184,-0.16279602,0.07762146,-0.21600342,17.544556,8.132935,-51.150513,8.036805146,10.5504258,4705.87449,17.79194373,8.205095059,BLANK,0.520931008,-0.206167933
4.70588E+12,1.1462402,4.002899,8.845917,-0.101882935,0.06315613,-0.21833801,17.544556,8.132935,-51.150513,8.077260739,10.5504258,4705.879526,17.77957435,8.201487056,BLANK,0.520931008,-0.206776437
