timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,Smooth Mag,smooth_mag_x,smooth_mag_y,smooth_mag_z,0.000000001,Rad/sec * seconds,1.359228818,Standard Deviation Gyro,
7.20589E+12,-0.23039246,0.075149536,9.635773,0.0027771,0.003173828,4.27E-04,7.36084,2.7496338,-45.42389,BLANK,6.793536924,2.813126378,-45.38771276,7205.889849,7.41E+02,42457.94284,1.359228818,-1.359228818
7.20589E+12,-0.22198486,0.065216064,9.607986,0.001693726,0.003173828,-6.10E-05,7.36084,2.7496338,-45.42389,BLANK,6.821902077,2.809951749,-45.38952162,7205.894884,7.43E+02,42547.69675,1.359228818,-1.359228818
7.2059E+12,-0.23991394,0.0770874,9.6128235,5.95E-04,0.003173828,7.02E-04,7.4295044,2.886963,-45.291138,BLANK,6.852282194,2.813802312,-45.38460244,7205.89992,7.44E+02,42637.55519,1.359228818,-1.359228818
7.2059E+12,-0.2290802,0.084625244,9.666275,-1.37E-04,0.002838135,0.001037598,7.4295044,2.886963,-45.291138,BLANK,6.881143304,2.817460346,-45.37992922,7205.904955,7.46E+02,42727.46012,1.359228818,-1.359228818
7.20591E+12,-0.23164368,0.07936096,9.642441,5.04E-04,0.002105713,0.001449585,7.4295044,2.886963,-45.291138,BLANK,6.908561359,2.820935479,-45.37548966,7205.90999,7.47E+02,42817.42236,1.359228818,-1.359228818
7.20592E+12,-0.24176025,0.074401855,9.666031,0.001998901,0.001693726,3.05E-04,7.4295044,2.886963,-45.291138,BLANK,6.934608511,2.824236855,-45.37127208,7205.915026,7.49E+02,42907.2276,1.359228818,-1.359228818
7.20592E+12,-0.25048828,0.069747925,9.639877,0.001556397,5.95E-04,-7.93E-04,7.4295044,3.1784058,-45.291138,BLANK,6.959353305,2.841945302,-45.36726537,7205.920061,7.50E+02,42996.88119,1.359228818,-1.359228818
7.20593E+12,-0.23756409,0.06048584,9.633942,9.31E-04,4.12E-04,-0.001434326,7.4295044,3.1784058,-45.291138,BLANK,6.98286086,2.858768327,-45.363459,7205.925097,7.52E+02,43086.44559,1.359228818,-1.359228818
7.20593E+12,-0.23147583,0.06124878,9.625839,4.43E-04,5.49E-04,-0.001434326,7.4295044,3.1784058,-45.291138,BLANK,7.005193037,2.874750201,-45.35984295,7205.930132,7.54E+02,43176.00914,1.359228818,-1.359228818
7.20594E+12,-0.23010254,0.060699463,9.639877,7.93E-04,-3.05E-05,-0.00189209,7.4295044,3.1784058,-45.291138,BLANK,7.026408605,2.889932981,-45.35640771,7205.935167,7.55E+02,43265.50823,1.359228818,-1.359228818
7.20594E+12,-0.23223877,0.064193726,9.644806,0.00151062,-3.05E-05,-0.00201416,8.331299,2.3284912,-45.87555,BLANK,7.091653125,2.861860892,-45.38236482,7205.940203,7.57E+02,43354.98919,1.359228818,-1.359228818
